passed,year,adult,popularity,runtime,vote_average,vote_count
1,2012,FALSE,14.89499,120,6,2683
0,2011,FALSE,18.695329,129,7,3971
0,2011,FALSE,6.914615,123,5.9,133
1,2011,FALSE,6.142913,94,5.6,368
1,2011,FALSE,12.463435,102,5.8,154
0,2011,FALSE,14.25843,133,6.8,4026
0,2011,FALSE,10.563152,124,6.5,928
1,2009,FALSE,8.907829,158,7.2,2479
1,2011,FALSE,8.127392,89,4.8,474
1,2006,FALSE,0.617996,88,6.8,9
1,2011,FALSE,8.066393,87,5.4,499
1,2011,FALSE,5.379039,113,6.2,136
1,2011,FALSE,7.907571,100,5.7,175
1,2015,FALSE,9.734012,100,5.2,164
1,2014,FALSE,0.693366,86,5.5,2
1,2011,FALSE,9.586854,80,5.1,30
1,2011,FALSE,2.939603,86,7,33
1,2012,FALSE,5.747675,83,4.6,263
1,2012,FALSE,10.595067,109,6.1,777
1,2007,FALSE,4.842323,153,6.8,69
0,2011,FALSE,6.695229,113,6.6,166
1,2011,FALSE,7.421245,105,6.2,540
0,2012,FALSE,0.528701,181,5.8,7
1,2011,FALSE,3.344002,90,6.1,31
0,2015,FALSE,8.156758,110,6.4,84
1,2011,FALSE,7.406609,112,5.7,198
1,2012,FALSE,12.345348,88,6.1,1885
0,2012,FALSE,14.31675,117,6.4,1476
0,2012,FALSE,10.528173,102,6.2,936
0,2011,FALSE,9.574817,93,5.6,508
1,2010,FALSE,12.510849,112,6.6,157
0,2011,FALSE,1.72815,113,5.8,19
0,2011,FALSE,2.341677,140,6.8,39
0,2010,FALSE,0.762202,98,6.2,12
1,2007,FALSE,0.950301,120,5.6,10
0,2009,FALSE,0.89682,100,6.4,5
0,2011,FALSE,10.711742,86,5,359
0,2012,FALSE,7.145835,125,5.9,180
1,2012,FALSE,6.322435,91,5.3,392
1,2011,FALSE,4.974482,119,5.8,62
1,2011,FALSE,8.560726,102,5.4,223
1,2012,FALSE,6.159379,107,6.6,153
0,2011,FALSE,5.324419,92,6.2,385
0,2012,FALSE,12.47441,84,6.6,1965
0,2012,FALSE,8.896679,95,6.1,1237
0,2011,FALSE,5.24456,83,6.4,430
0,2010,FALSE,2.380795,92,7.5,47
1,2001,FALSE,6.879235,76,6.4,182
1,2012,FALSE,9.524298,104,7,1328
1,2011,FALSE,0.385288,100,7.7,6
1,2012,FALSE,10.378756,85,5.8,111
0,2012,FALSE,9.46307,94,5.8,1050
1,2011,FALSE,11.047948,92,6.9,298
1,2010,FALSE,16.544322,85,5.8,81
1,2009,FALSE,3.124151,90,6,22
0,2011,FALSE,0.131404,73,7,2
0,2010,FALSE,10.265386,102,6.7,237
0,2011,FALSE,9.421301,95,4.7,1163
1,2011,FALSE,1.604527,107,6.8,35
0,2011,FALSE,7.0713,107,7,206
1,2010,FALSE,3.40682,70,6.5,68
1,2007,FALSE,9.384244,94,5.9,346
1,2011,FALSE,7.666558,129,6.8,77
0,2012,FALSE,9.803023,88,6.5,1624
0,2012,FALSE,7.689395,86,6.3,1048
0,2011,FALSE,10.267905,100,5.6,252
0,2012,FALSE,12.159818,110,6.3,420
0,2012,FALSE,12.366641,103,5.9,1411
